jobid,pid,grade,remark,Extra credits comment,homework
,A53095928,80,last 4 graphs are missing,,3
,A53096102,100,,,3
,A53096254,100,,,3
,A53096298,120,"Instructor Feedback to extra credit part:
Nice analysis and a nice attempt at fixing the problem. You Hypothesize that a small number of stations are involved, but you did not confirm that directly (by removing such stations) or try to see what is common to these stations.
Extra Credit points: 20",,3
,A53096365,100,,,3
,A53096479,100,,,3
,A53096505,100,,,3
,A53096555,100,,,3
,A53097095,95,"second graph of part 2 is wrong.

Instructor Feedback to extra credit
The explanation given in the first bullet is not supported by evidence. The method for removing the effect is very crude - your are removing any station-year that does not have a full set of measurements. Nothing related to end-of-month specifically. and removes 56% of the data.
It is not clear to me what the figures below are meant to represent or explain.
No extra credit points.",,3
,A53097552,100,"Instructor Feedback to extra credits part:
It seems you are not very comfortable with the notebook format. In particular, with writing markdown cells with explanations in english. The code is here in service of the explanation, not the other way around.
Having explanations as comments in the code and printing out large tables does not help.
No Extra Credit",,3
,A53097553,100,,,3
,A53097569,150,"Instructors Comments on Extra Credits
This notebook is outstanding!
The analysis is thoughful, the evidence is convincing, and the work is detailed.
The layout could be improved to structure the notebook better and to cl",,3
,A53097652,100,,,3
